movie_title,reviewer_name,review_text,is_rotten
Cocaine Bear,Michael O'Sullivan,"Cocaine Bear isn’t so much a movie as an idea — a synopsis, an elevator pitch, a thumbnail description.",True
Cocaine Bear,Brian Lowry,"Give the kudos more to the concept than the movie, which mostly demonstrates, with apologies to an old marketing slogan, that things don’t always go better with coke.",True
Cocaine Bear,Nicholas Barber,"It's definitely better than Banks's last film, Charlie's Angels, but you can't help feeling that she has done the bear minimum.",True
Cocaine Bear,Mick LaSalle,"Where Cocaine Bear fails is that there is nothing to keep us watching but the spectacle of the bear attacks. We don't care if anyone survives, and we're not invited to take anything about it seriously.",True
Cocaine Bear,Lovia Gyarkye,"No thoughts, just vibes.",False
Cocaine Bear,Jude Dry,"Keri Russell and Ray Liotta add A-list appeal to this B movie cash grab, as director Elizabeth Banks proves she knows what audiences want.",False
Cocaine Bear,Saskia Lloyd Gaiger,Cocaine Bear transcends terms such as good and instantly enters the realm of beloved trash.,False
Cocaine Bear,Ellen E Jones,"There’s a class A premise for a B-movie in here, but Cocaine Bear is just too sober to get high on its own supply.",False
Cocaine Bear,Alex Welch,"A manic, headfirst dive into pure, unadulterated chaos.",False
Cocaine Bear,Soren Andersen,"As a creature feature, Cocaine Bear isn’t bad. Not great, mind you. But not bad.",False
Cocaine Bear,Johnny Oleksinski,"Impressively... director Elizabeth Banks keeps the powder gags fresh throughout, as the mammal maims her way through a Southern forest preserve.",False
Cocaine Bear,Tim Grierson,"Director Elizabeth Banks' third feature leans into the material's trashy B-movie qualities, treating this oddball crime saga as a dark comedy that is only sporadically as clever as it thinks it is.",True
Cocaine Bear,Brian Truitt,Cocaine Bear only asks that you love the B-movie beauty and its fabulous beast.,False
Cocaine Bear,Paul Attard,Cocaine Bear starts running on fumes almost immediately and peters out before the second brick of cocaine is even devoured.,True
Cocaine Bear,Clarisse Loughrey,"It’s bloody and grotesque, at times quite dark, but also surprisingly endearing.",False
Cocaine Bear,Alonso Duralde,"Never sacrifices the laughs for dramatic tension, nor vice versa, and those are very tricky plates to spin over the course of a feature film.",False
Cocaine Bear,Meagan Navarro,"Cocaine Bear struggles to sustain its euphoric highs and not all choices work. But the irreverent, zany fun, the underlying tenderness toward the characters, and a deeply committed cast ensure crowd-pleasing, unhinged entertainment will be had.",False
Spider-Man: No Way Home,Olly Richards,"Better for big fans, but still fun for casual watchers.",False
Spider-Man: No Way Home,Olivia Zayas Ryan,"For Maguire and Garfield’s characters, the multiverse allows them a chance to make things right in the MCU.",False
Spider-Man: No Way Home,Steven D. Greydanus,Crossover comfort food with a redemptive twist.,False
Spider-Man: No Way Home,Liz Shannon Miller,"Throughout all of it, the weird and complex history of Spider-Man as a cinematic icon isn't a hindrance to the story; instead, it's an enhancement, using the quirks of the character's legacy as a source of illumination into why he has endured so long.",False
Spider-Man: No Way Home,Allegra Frank,The movie allows for a surprisingly impactful reappraisal of a long-held Spidey franchise consensus.,False
Spider-Man: No Way Home,Anupama Chopra,"This film is fan service at its best because even us, casual lovers, can enjoy the ride.",False
Spider-Man: No Way Home,Damian Levy,"Dafoe and Molina are the scene stealers in the movie, with a special mention to Dafoe for bringing back the terror he gave me at the age of 6.",False
Spider-Man: No Way Home,Christy Lemire,"This movie's a total blast, but it's also surprisingly emotional at times, too.",False
Spider-Man: No Way Home,Richard Whittaker,"So often in these big multi-villain events, the hero gets swallowed up, but here he defines the film.",False
Spider-Man: No Way Home,Oliver Jones,A film destined to be enthusiastically embraced by both old-school web slinger junkies and fans of the multi-film corporate franchise in which he is currently ensnared.,False
Spider-Man: No Way Home,John Wenzel,"Despite Marvel's usual bloat and a swirling storm of characters, ""Spider-Man: No Way Home"" earns its joy and sorrow with thematic substance, the breathless action often contrasted with quiet reflection and grief.",False
Spider-Man: No Way Home,Sandra Hall,"It's a form of breaking the fourth wall, inviting the audience in to share a joke with the actors, and verges on parody. Yet somehow they carry it off without diluting our sense of involvement with Peter and those he loves.",False
Spider-Man: No Way Home,Wendy Ide,"An overflowing, funnel-web cornucopia of treats for Spider-fans.",False
Spider-Man: No Way Home,Nicholas Barber,"No Way Home isn't just about looking back at old films. It also opens up new avenues for the Marvel Universe - or the Marvel Multiverse, to be more accurate.",False
Spider-Man: No Way Home,tt stern-enzi,It feels like the first time that this Peter Parker gets to grow up.,False
Spider-Man: No Way Home,Clarisse Loughrey,It reaches a point at which the division between sincerity and cynicism doesn't seem to matter much anymore - it will work for the right people. And that is an art in itself.,False
Spider-Man: No Way Home,Bilge Ebiri,"While the previous Holland films have been mediocre in modest ways, No Way Home feels downright aggressive in its mediocrity...",True
Spider-Man: No Way Home,Helen O'Hara,"Spider-Man is always best on the back foot, and this film puts him thoroughly through the wringer. But it also gives him room to shine, and packs an emotional punch that could floor any of his villains.",False
Spider-Man: No Way Home,Peter Travers,"Tom Holland is better than ever in his surprise-packed, third solo outing as a teen hero in a onesie who's out to save the world and a faltering pandemic box office. But this time the generic thrills are tempered with genuine emotion. Good one, Spidey.",False
Spider-Man: No Way Home,Rafer Guzman,"Short on story, long on insider humor, this Spidey entry marks a sudden drop-off in quality.",True
Spider-Man: No Way Home,Mark Feeney,"You don't need to have seen any of the previous Spider-Man movies to follow this one. But it's much more entertaining - more affecting, too - if you have.",False
Spider-Man: No Way Home,Linda Marric,"A bombastic, crowdpleaser which is sharp, funny and just as chaotic as its titular character. Like a bratpack movie, it's a film about growing up, knowing one's place in the world and appreciating it for what it is.",False
Spider-Man: No Way Home,Sara Michelle Fetters,"If he can have more solo adventures as good as this one, I admit I'm finally curious to see where this version of the wall-crawler goes next.",False
Spider-Man: No Way Home,Joe Morgenstern,"Given the infinite possibilities for chaos, it's remarkable that this sequel to Spider-Man: Homecoming and Spider-Man: Far From Home makes any sense at all. Yet it does, emotionally more than narratively.",False
Spider-Man: No Way Home,James Berardinelli,"As superhero movies go, this one offers its share of satisfying moments and is guaranteed to warm the heart of any Spider-Man movie fan, regardless of when their fandom started.",False
Spider-Man: No Way Home,Manohla Dargis,"Like almost every Marvel production, this one is too long and, at two and a half hours, overstays its welcome. But before that, the movie nicely snaps and pops.",False
Spider-Man: No Way Home,Caroline Siede,"It's an intriguing idea -- paving a new Spidey future by interrogating our collective Spidey past. Still, it's one that will probably play best for those already invested in the Spider-Verse, rather than those just swinging by.",False
Spider-Man: No Way Home,David Sims,It's a hectic series of plot twists and deus ex machinas that overturns an entire bucket of action figures and smashes them all together with delight. The film might be a new nadir of cinema -- but it's also an undeniably watchable good time.,False
Spider-Man: No Way Home,Chris Hewitt,"It's called ""Spider-Man: No Way Home"" but a better title for this exhausting sequel would be ""Spider-Man: For Superfans Only.""",True
Spider-Man: No Way Home,Scott Tobias,"The MCU is a high-floor/low-ceiling enterprise, and No Way Home is slightly closer to the ceiling than the floor, exactly like all the other Spider-Man movies.",False
Spider-Man: No Way Home,Leslie Felperin,"The Church of Gesù of Marvel movies, a canonical close read unrivalled in its density of detail and scriptural self-referentiality, as sticky and exhausting as a day at a theme park.",False
Spider-Man: No Way Home,Michael O'Sullivan,"""Spider-Man: No Way Home,"" for fanatic followers of the webslinger, is a big, fat Christmas present, covered in shiny, blue-and-red wrapping paper and all tied up with a pretty web bow.",False
Spider-Man: No Way Home,Dan Jolin,"At the risk of getting cheesy, it won't just make you cheer, it'll make you want to hug your friends, too.",False
Spider-Man: No Way Home,Michael Phillips,"Casting Tom Holland as Peter Parker was one of the sharper decisions to emerge from the ever-present, oxygen-sucking Marvel Cinematic Universe. What a business model!",False
Spider-Man: No Way Home,Hannah Strong,A long way of saying not very much.,True
Spider-Man: No Way Home,Mick LaSalle,"The filmmakers put their faith in a character, not fireworks, and the result is big blockbuster that feels more like a sweet little movie.",False
Spider-Man: No Way Home,Moira MacDonald,"Those who meticulously study the Marvel universe will find lots to happily debate here, but those of us with a more casual connection to superhero movies will simply have a rollicking good time.",False
Spider-Man: No Way Home,Jake Coyle,"Its tone leans more operatic than antic. Still, Watts has a human touch that can be lacking in superhero films, and nearly all of the actors who appear in No Way Home""come across as individuals despite the high-concept narrative.",False
Spider-Man: No Way Home,Adam Graham,"Watts, who also helmed the previous two chapters in the series, mixes humor, action and human moments well, and he keeps the film moving nimbly, despite its nearly two-and-a-half hour running time.",False
Spider-Man: No Way Home,Bill Goodykoontz,"Watts keeps things moving, and Holland makes the character his own.",False
Spider-Man: No Way Home,Cary Darling,"A deft, funny and surprisingly emotional superhero adventure that manages to provide both fan service for the Marvel faithful and breezy entertainment for those who wouldn't know Peter Parker from Peter Jackson.",False
Spider-Man: No Way Home,Robbie Collin,Less resembles the franchise-bending ensemble romp promised by its trailers than an all-star Zoom call with a visual effects budget.,True
Spider-Man: No Way Home,Charlotte O'Sullivan,"Clever, tender, funny and rousing, No Way Home is an instant classic.",False
Spider-Man: No Way Home,Kevin Maher,A dynamite blast of smarty-pants postmodernism that never once abandons its emotional core.,False
Spider-Man: No Way Home,Donald Clarke,"The new film - despite some dreaded ""darker"" moments - remains much lighter on its feet than 90 per cent of the Marvel Cinematic Universe.",False
Spider-Man: No Way Home,Jake Cole,"There's no attempt to hide that the film is pure fan service, a greatest-hits mashup of Spider-Man's cinematic legacy.",True
Spider-Man: No Way Home,Katie Walsh,"A fast, loose and funny romp through Spidey's greatest hits",False
Spider-Man: No Way Home,Radheyan Simonpillai,"The latest, laboured movie in Tom Holland's up-to-this-point winning iteration of the web-slinger is all about webbing characters through multiverse magic from previous iterations of the franchise to deliver fleeting dopamine hits.",True
Spider-Man: No Way Home,Justin Chang,"While the action ultimately turns as murky as in any Avengers epic, the smug, depersonalized air that often mars those glorified cinematic frat parties is notably absent.",False
Spider-Man: No Way Home,Kristy Puchko,"It's not only an enthralling thrill ride, not only a celebration of Spidey fandom, not only a rousing adventure but also an emotionally riveting drama that doesn't pull its punches.",False
Spider-Man: No Way Home,Esther Zuckerman,"Spider-Man: No Way Home is a goliath that feels destined to eat the world, a potent combination of the ongoing Marvel Cinematic Universe and nostalgia for what came before.",False
Spider-Man: No Way Home,David Fear,"This is, in so many ways, business as usual... But when the movie decides to detour into cracked, buddy-comedy territory -- that's when the fun begins.",False
Spider-Man: No Way Home,Leah Greenblatt,What seems at first like pure fan service turns out to be some of the best and by far the most meta stuff Marvel has done: tender and funny and a little bit devastating.,False
Spider-Man: No Way Home,Nell Minow,"""Spider-Man: No Way Home"" is everything a comic book movie should be, filled with excitement, heart, humor, and details to delight the fans.",False
Spider-Man: No Way Home,Tim Grierson,"Once 'No Way Home' finds its rhythm, the picture builds to a thoughtful, touching final act that does justice to the heroism and self-sacrifice that have always been central to Spider-Man's appeal.",False
Spider-Man: No Way Home,Brian Tallerico,"No Way Home is crowded, but it's also surprisingly spry, inventive, and just purely entertaining.",False
Spider-Man: No Way Home,Barry Hertz,Spider-Man: No Way Home is both a gigantic act of franchise-mad hubris and a ridiculous amount of fun.,False
Spider-Man: No Way Home,A.A. Dowd,No Way Home's extended exercise in franchise-agnostic fan service is at once an ominous precedent for future event movies and an at-times rather poignant gimmick.,False
Spider-Man: No Way Home,Nick Schager,The finest wall-crawling MCU effort to date.,False
Spider-Man: No Way Home,Richard Lawson,"Holland has built a legacy that will long linger in the Spider-Man firmament; better he should place it on the mantle now than wear out his welcome. The odds of that actually happening are, of course, slim to none.",False
Spider-Man: No Way Home,Brian Lowry,"Briskly balancing a dizzying assortment of parts, Marvel's latest (by way of Sony) looks destined to do what only a spider can -- namely, lure vast numbers of fans into its web.",False
Spider-Man: No Way Home,Richard Roeper,Where there's a web there's a way.,False
Spider-Man: No Way Home,Peter Debruge,"Returning director Jon Watts... wrangles the unwieldy premise into a consistently entertaining superhero entry, tying up two decades' of loose ends in the process.",False
Spider-Man: No Way Home,Kate Erbland,When was the last time the third film in a franchise got audiences truly thrilled for what comes next?,False
Spider-Man: No Way Home,Johnny Oleksinski,You'll have never left a Marvel film with so much uncertainty as to what comes next.,False
Spider-Man: No Way Home,John DeFore,"This is the least fun of the Watts/Holland pictures by a wide margin (intentionally so, to some extent), but it's a hell of a lot better than the last Spidey threequel...",False
Spider-Man: No Way Home,Benjamin Lee,Is Tom Holland's web-slinger up to the task? The answer is: mostly yes.,False
Spider-Man: No Way Home,Brian Truitt,"A rousing entry that doubles asa love letter to the comic-book character, a film very much about second chances and a cleverly crafted reminder of that famous adage: ""With great power comes great responsibility.""",False
Spider-Man: No Way Home,Alonso Duralde,The most superheroic feat on display might be the film's ability to keep human-sized emotions and relationships front and center even as the very fabric of time and space twists itself into knots.,False
Spider-Man: No Way Home,Perri Nemiroff,"The first half is a bit rough around the edges, but that second half soars. In that part of the movie, the multiverse of it all far exceeds expectations -- fun, exhilarating, often very emotional and hugely satisfying material.",False
Spider-Man: No Way Home,Matt Singer,No Way Home understands the key to Spider-Man's appeal.,False
