movie_title,reviewer_name,review_text,review_score
Cocaine Bear,Thomas,"Too much unnecessary cursing!!!!!!! I get so frustrated with movies that use so much cursing. If the writers have no more imagination than that, they need to resign! I prefer no cursing at all but I can tolerate a word or two, here and there, but when every line of the script has so much vulgarity  You could cut out all of the curse words and the movie would be 45 minutes shorter!!! 
The bear looked obviously animated in several places. 
Too much blood, guts and gore!!!",0
Cocaine Bear,Kip,It is definitely not a comedy. Gore. That is fine if you aren't going to a show expecting humour.,1
Cocaine Bear,Taylor,didn’t let me watch it🖕🏻,0
Cocaine Bear,R&B,Just didnt seem realistic,2
Cocaine Bear,Alex,something different. very funny.,5
Cocaine Bear,Suavecito,"I am not sure how rate this film?
I was wickedly funny and dark.  not sure if this movie was a comedy or scary movie or documentary???  it was different for me to say the least.",3
Cocaine Bear,Jax,Intestines looked sausage👎🏾,4
Cocaine Bear,Brutus,Thought it would be funnier.  One of those movies where most of the best bits were in the trailer.  It is a hard R for the gore. Looking for that breakout comedy? look elsewhere.,2
Cocaine Bear,Aaron M,Was very funny and entertaining had a great time R.I.P. Ray Liotta,5
Cocaine Bear,Ori S,Good movie really funny!!!! Stupid name but a great movie,5
Cocaine Bear,Claus,"Bad plot, and bad graphics. If they tried to go to the ""absurd"" realm (like the parody on Scream), they didn't hyperbolize enough.",1
Cocaine Bear,Garrett,Pretty good and funny movie,3
Cocaine Bear,Ruben,"Not what you would expect , in a good way",5
Cocaine Bear,B.F,"Great movie, it nailed exactly what it was going for. Wasn't expecting quite as much gore but it was crucial and hit home with the dark humor.",4
Cocaine Bear,Monica,It was surprising and original!,5
Cocaine Bear,Sydnie,"Funny movie, lots of gore. If you like dark humor this is for you!",5
Cocaine Bear,MDUDE,Ok movie with some good parts,3
Cocaine Bear,ROY,Average movie.  Glad I watched it on a discount Tuesday.,2
Cocaine Bear,Kimberly,Worst movie I have ever seen. If I could give zero stars I would. Wish I hadn't of wasted my money on this movie.,1
Cocaine Bear,Trailgaiter,"Kinda corny and predictable, but a few good laughs. I'm glad I saw it. The 'R' rating is only for the gore and language, no nudity or sex.",3
Cocaine Bear,Mary D,it was boring gory violence i did'nt expect thought he was just going to be a funny movie,0
Cocaine Bear,leslie,Meh it passed the time,2
Cocaine Bear,Adam B,Better than I expected but Elizabeth Banks needs to work on her comedy writing.,3
Cocaine Bear,Jackie,Worst movie Ive ever seen! Not even remotely funny and just plain gross.,0
Cocaine Bear,michael p,"We were ready to go half way through it. The novelty of it wore off quickly. Very much a B rated movie with poor writing and acting that quite frankly didn't make much sense half the time. Let the humor in this help you make it to the end ! Sorry, had big hopes for this one from the previews .",2
Cocaine Bear,turquoise j,"Funny, unpredictable.",5
Cocaine Bear,Google,Stupid and violent trying to be humorous,2
Cocaine Bear,Nick,It was funny and gory ! Good stoner movie,3
Cocaine Bear,Russell,"It was worth the watch but nothing too special.  I didn't think it was going to be so bloody, but it was still fun and funny.",3
Cocaine Bear,Random Movie Goer,"It had a very strong beginning and solid characters, but it fell apart a bit near the end. The actual ending was also a bit disappointing, but what are you gonna do? Its a true story its not like it could have been changed.",2
Cocaine Bear,Margaret,It was terrible. Thought it was going to turn out to be a comedy. It was not!,1
Cocaine Bear,Mark  S,"If you like this kind of movie, you are going to love Cocaine Bear! A great romp with scares, laughs and plenty of OMG moments. Suspend your disbelief and join the fun!",5
Cocaine Bear,Alishia Oates,Funny and entertaining,5
Cocaine Bear,Pat,Hilarious horror movie.,5
Cocaine Bear,Henrietta  G,IT WAS FABULOUS!! LOVED IT!!,5
Cocaine Bear,Brenda,It was VERY gory and the language was not necessary!,3
Cocaine Bear,Teddy Z,"to be honest, I went in expecting ridiculousness, and while I wasn't disappointed of its craziness, it was humorous at times, bit gorey moments, some sad & adorable moments, and quite a few WTH moments as you pan between multiple characters throughout the movie

overall, not a bad movie, just don't over think things, don't give animals unperscribed drugs, and just enjoy it for the craziness that it is",4
Cocaine Bear,Tiffany M,Had its funny moments but somehow still missed the mark.,3
Cocaine Bear,Thomas D,"We would not have seen this movie if it hadn't been for my husband's prodding as he heard it had gotten good reviews.  I went along unenthusiastically.  Well, to my surprise, I absolutely LOVED it.  If you are a Fargo fan, think ""quirky"" characters that will make you laugh through the entire movie (except for the gory parts, of course).  One couple did get up and leave the theater when the first human leg was sacrificed to the bear!!!",5
Cocaine Bear,Monika,It was entertaining...,2
Cocaine Bear,Kentuck,"Comedian Tony Baker said it best. when you go to see cocaine bear, leave your brain at home. If you like a bear fill with cocaine and going on a killing spree, this movie is for you. I enjoy the movie and I definitely left my brain at home.",3
Cocaine Bear,Nancy D,It's a gruesome fun ride!,4
Cocaine Bear,Allie,"3.4/5 stars!! Its everything I expected it to be, it was hilarious. Corny acting along with editing mistakes, but it made it so much better.",3
Cocaine Bear,Marianna L,Not a movie I would recommend- it’s silly and there’s hardly a plot to follow,2
Cocaine Bear,Danielle,Silly funny horror movie,3
Cocaine Bear,Jessie,Horror and comedy in one loved it,5
Cocaine Bear,JACOBY M,Wish there was more scenes wit the bear,3
Spider-Man: No Way Home,Connor,Nostalgic enough to make you want to rate it a 5. Although the overall flow of the movie was pretty disappointing. The Spider-man humor was there and great as usual.,4
Spider-Man: No Way Home,TomE,Great Attraction Of Nostalgia,4
Spider-Man: No Way Home,Nick,it was fan service but it worked,4
Spider-Man: No Way Home,Derek,The perfect movie to bring you back to the theaters!,5
Spider-Man: No Way Home,Ivan,Best marvel movie of all time 🔥,5
Spider-Man: No Way Home,Jake Shillow,respectfully my fav movie of all time,5
Spider-Man: No Way Home,Lee B,Everything it's Spiderman,5
Spider-Man: No Way Home,Javon,awesome theater experience,5
Spider-Man: No Way Home,Nytro,One of the best marvel movie period,4
Spider-Man: No Way Home,Eduardo,best movie experience I've ever had,5
Spider-Man: No Way Home,anderson 8,one of the best spiderman movies,5
Spider-Man: No Way Home,Patrick,"best of the three MCU spidey films, tugs at the heart and lives up to the hype!",5
Spider-Man: No Way Home,XDIEGenral,Best Spider-Man Movie since Spider-Man 2. A lot of nostalgia combined with action-packed fun and glory make this film a memorable masterpiece. It's great seeing all the iconic actors like Tobey Maguire and Andrew Garfield return🎉,5
Spider-Man: No Way Home,Anthony  T,Amazing is all I have to say! seeing all of the previous spidermans in one film was awesome! a great watch for the whole family,5
Spider-Man: No Way Home,Jeffrey W,A fantastic superhero flick through and through.,5
Spider-Man: No Way Home,Nicholas K,"Good movie, completely saved by returning cast from previous eras of Spider-Man cinema. Without them this movie would not be worth price of admission. Also, make The Amazing Spider-Man 3 with Andrew Garfield and Marc Webb, Sony!",3
Spider-Man: No Way Home,Kelvis,Have seen it more than 2 times already! A must watch!,5
Spider-Man: No Way Home,GrantGG,"Amazing, me and all my buds went together, great time!",5
Spider-Man: No Way Home,Snafu,"Ahh, this movie is still as amazing the 4th time around as it was the 1st time watching. The additional scenes don't really add much except a few extra laughs. But overall, still an amazing experience and an amazing heroes journey for Spider-Man.",5
Spider-Man: No Way Home,grumpy old bag,"movie was good, enjoyed the story but it was about 30 minutes too long.",3
Spider-Man: No Way Home,+wazzerwazoo,"Fun movie, well worth the time and money.",4
Spider-Man: No Way Home,Joshua,Extra scenes added humor!,4
Spider-Man: No Way Home,Jacky S,"This movie was great, kids love it!",5
Spider-Man: No Way Home,Richard M,It is a long movie but it was so well done with lots of action and it was nice seeing all three Spider-Man actors in the movie.,5
Spider-Man: No Way Home,Pete Ruttman,Liked: Best Spider-man film since Spider-man II.  Disliked: Doctor Strange did one of the dumbest actions since Starlord ended up helping Thanos kill 1/2 of the universe's inhabitants.,5
Spider-Man: No Way Home,Ellie,"Great Movie, loved every second!!!",4
Spider-Man: No Way Home,Leo,"Liked the fact that all the original characters were back, but story was weak",3
Spider-Man: No Way Home,Sarah,Third time seeing this today and it just gets better and better. Will be watching again and again. Love it,5
Spider-Man: No Way Home,robertmarraattnet,Fast moving for a long film.,4
Spider-Man: No Way Home,Gregory,"The movie was amazing. It was entertaining and worth seeing a second time. The actors were brilliant especially Tom, Toby, and Andrew also the villains were awesome especially Green Goblin, Doctor Octopus, and the others. The extended cut was wonderful.",5
Spider-Man: No Way Home,Dominic,Even better the second time! 🕷🕸,5
Spider-Man: No Way Home,Jason,five out of fiveWOOOOOOOOS.,5
Spider-Man: No Way Home,Shannon S,"Spider-Man: No Way Home is already a near perfect superhero film. This extended cut is a welcome return with a few new bells and whistles. I wouldn’t say it does a lot to make a great film better, but the added bits do give it a few more moments to connect with the characters and expands on the obstacles they encountered. Especially in the earlier parts of the story. If you weren’t already a fan of the film then the extended cut isn’t really going to do much to change your mind. If you were already a fan of this outing of the Spider-Man franchise then you will likely appreciate the scenes that expand a little more on different points in the story. And for what it’s worth, all the same parts in the film that hit me in the feels from my previous viewings still hit here.",5
Spider-Man: No Way Home,James E,Great movie. I enjoyed all the cameos from the older movies. Spiderman is my favorite Marvel character and I'm glad the movie rights are still with Sony.,5
Spider-Man: No Way Home,Drew,Not much of an addition with the barely 12 minutes of new screen footage. Most seemed to come with the on campus interviews that were meh. Still loved the film and will be watching it again soon! Still could have used more of the 3 peters interacting.,5
Spider-Man: No Way Home,TriciaD,Great action. Loved the Spidie trio,5
Spider-Man: No Way Home,Ken S,"This was probably my favorite Spider Man movie of all, at least so far. Great plot, great acting, great fun!",5
Spider-Man: No Way Home,Nick,"An amazing film. Fun and funny. Still makes me cry on the second viewing. Well-placed, fantastic visuals, great acting. Worth seeing again!",5
Spider-Man: No Way Home,Jonathan,Definitely a must see movie,5
Spider-Man: No Way Home,Jason,The added scenes didn't make the movie better.,3
Spider-Man: No Way Home,Christine M,Great Movie!  Loved how they brought back the other people that played Spider-man,5
Spider-Man: No Way Home,dane,Power was out please send me refund,3
Spider-Man: No Way Home,Julsiah,"big marvel fan in knowing the facts ,they had some pretty good added scenes",5
Spider-Man: No Way Home,Richard,It was the best movie off all time hand down,5
Spider-Man: No Way Home,Rachel,fell in love with it all over again :),5
Spider-Man: No Way Home,Melia,I loved the new and extended scenes in the movie it made it amazing !!,5
Spider-Man: No Way Home,mike,great spiderman movie,5
Spider-Man: No Way Home,celeste,ITS THE BEST MOVIE EVER,5
Spider-Man: No Way Home,David,"There is a lot of story here. You will be unable to appreciate it all if you have not seen all of the spiderman movies previous to this one. That being said, the story is intriguing, and provides for a number of future movies.",4
Spider-Man: No Way Home,Kathie,"I was confused initially about the context. I had not seen any previews or read anything about the movie so I went into it blind. Some of the shots weee obvious over a green screen but I eventually figured out that it was supposed to look that way because it was a high school broadcast. The supposed real new anchor was hokey. With all that said, when the other two supermen showed up, now that was a surprise and so cool. I was hooked from there to the end and really loved the rest of the movie and story line.",4
Spider-Man: No Way Home,Armando,Loved the movie! Cannot go wrong with this movie! A big part I loved was having the authenticity of characters and their family! Loved the Filipino grandma scene! Made me miss my Nanay!,5
Spider-Man: No Way Home,Silvia lizon,Las compre para mi hija y sus amigas y estaban felices,5
Spider-Man: No Way Home,Hunter,Incredible movie the second time around. Great theater. A lovely experience as always.,5
Spider-Man: No Way Home,Rodney B,"Still amazing, still Spectacular, still hits home. one thing I will say is that there was some stuff added, but not the more fun stuff. don't expect to much or you'll be disappointed, but expect and accept that this still is and always will be, one of the greatest films of all time",5
Spider-Man: No Way Home,Matt Murdock Simp,Matt Murdockkkkkkkkk those extra few seconds were WORTH IT I will simp for him until the end of time.  If they release a third version with even just 1 more second of Matt Murdock I will pay infinite amount of money to see him,5
Spider-Man: No Way Home,Jackson Adeeb,Worth Seeing the extended scenes. Awesome movie!,5
Spider-Man: No Way Home,Omar,Makes the movie way better :),5
Spider-Man: No Way Home,Andrea,The added scenes just made the movie absolutely perfect. The scenes were hilarious and 10/10 would pay to watch again.,5
Spider-Man: No Way Home,Sam Morris,Amazing movie always will be I watched this movie 2 times this was my third time never gets old best movie always will love,5
Spider-Man: No Way Home,Meghan,the extra fun cut was amazing,5
Spider-Man: No Way Home,Amanda D,"Good fun action and decent amount of emotional depth too. Love Tom Holland, he's a great addition to the spider-men.",5
Spider-Man: No Way Home,GILBERT G,GRATE MOVIE 🍿 I REALLY ENJOYED IT 👨‍💻 ALOT,5
Spider-Man: No Way Home,Gramenos G,"It's the best Marvel movie ever, trust me.",5
Spider-Man: No Way Home,Jacob,"It was my 9th time seeing it, and I still loved it with my entire being!!!",5
Spider-Man: No Way Home,Michael G,Very fun from start to finish.  Loved that they brought back the old characters.  I would say as good as end game.,5
Spider-Man: No Way Home,Daniel,"I really enjoyed the new 11 or so minutes, I have already watched it so many times before that the extra stuff was quite obvious to me but not to my son. I am glad I went to see it again ☺",5
Spider-Man: No Way Home,MarKuZ,Best Movie Ever….I love Spiderman,5
Spider-Man: No Way Home,gretchen h,Some great lines and special effects.,3
Spider-Man: No Way Home,Jerry S,Childish.  Walked out.,1
Spider-Man: No Way Home,David B,"IT'S WEB-SLINGING WITH TOM HOLLAND'S SPIDER-MAN, ANDREW GARFIELD'S AMAZING SPIDER-MAN AND TOBEY MAGUIRE'S FRIENDLY NEIGHBORHOOD SPIDER-MAN",5
Spider-Man: No Way Home,TWH,"The previous Spidermen were instrumental to the plot, not just fan service.",5
Spider-Man: No Way Home,Michael Bland,the movie kept you at the edge of your seat until the end.,5
Spider-Man: No Way Home,Helen,We liked the special effects and the surprises along the way.  Kept us watching intently.,5
Spider-Man: No Way Home,Michelle W,It was a great movie. It was very long but action packed all the way through!,5
Spider-Man: No Way Home,Robert M,Good action packed movie but Too long,3
Spider-Man: No Way Home,Luz,The extra Dialogue was amazing and really connected the movie.,5
Spider-Man: No Way Home,great movie,Went to see because of the 20 minutes of extra bonus footage. Not really worth it as it was just funny extras but nothing major you would be missing out on. Movie was still great!,3
Spider-Man: No Way Home,Lenora,It was  an amazing experience must  see movie  I truly  enjoyed.,5
Spider-Man: No Way Home,Google,"Boring& stupid, almost walked out.",1
Spider-Man: No Way Home,Cheryl,Story line was good.  A lot of action.  Wish it had a different ending.,5
Spider-Man: No Way Home,G,Just as much fun the second time around as the first! Very fun!,5
Spider-Man: No Way Home,michael s,The best and saddest Spider-Man movie,5
Spider-Man: No Way Home,Kemal,loved the extra added dialogs that led up to more team ups with all 3 Spiderman,5
Spider-Man: No Way Home,virginia,welll done and funny,5
Spider-Man: No Way Home,Jeffrey T,"I wanted to see what all the fuss was about, so I took the opportunity on National Cinema Day's 3 ticket. Best 3 I ever spent! (5.30 with fees). Great movie. Bizarre plot, but surprisingly emotional, surprisingly surprising!  Well acted, well put together. Kudos to all concerned.",5
Spider-Man: No Way Home,Riprock,"Great characters, very fun movie, and Zendaya is beautiful.",4
Spider-Man: No Way Home,Devin H,"Absolutely amazing I loved it and would watch it again, this projects the real marvel feel we've all grown to love and want . amazing to see all the spiderman together",5
Spider-Man: No Way Home,Ana Liza,We love the movie!!! Star cast and full of actions !!!!,5
Spider-Man: No Way Home,Sheila,The movie was AWESOME!!! I loved it,5
Spider-Man: No Way Home,Ethan,The Re-Release is great! More scenes which provided more comedy while keeping this amazing movie as best as it was when first released!!,5
Spider-Man: No Way Home,Steve Moon,I am glad to hear Spider-Man is MIT student. 3 Spider-Man with 3 Peter Parker did a good job with cooperation and mission completed.,5
Spider-Man: No Way Home,Michelle,"Totally awesome, the special effects and the surround sound in the XD theatre",5
Spider-Man: No Way Home,Anthony,Still had a fun time I was hoping a bit more but some extended scenes were good I did laugh from this one extended scene but overall was a amazing experience and spiderman is still my superhero I relate too in my life and the greatest superhero of all time.,5
Spider-Man: No Way Home,omar j,Still love this movie. Hopefully this version gets released !,5
Spider-Man: No Way Home,Grace,"I really loved the extended version so much!! The extra moments, dialogue, and 2nd end credit scene. So good! Love the reclining seats at the AMC and Nicole Kidmans intro!!!!",5
Spider-Man: No Way Home,Dave,The plot is terrible. An average film which confirms that Spider-Man villains are the absolute worst in the MCU. Skip it!,2
Spider-Man: No Way Home,Asa,The 4D Experience was excellent! Would 100% go with my family and friends again!,5
Spider-Man: No Way Home,Ron n,Love the extended scenes!!!,5
Spider-Man: No Way Home,Darell,My 5th time watching it it’s truly one of the best Superhero films Ever made,5
Spider-Man: No Way Home,JC,Literally love Tom and Andrew bro like,5
